GDP,Temperature
19807067268.1084,13.57
62306913444.2917,21.83
14799615097.1008,12.03
383066977653.56,14.55
12645459213.5235,7.15
1415059259.25926,26.61
1330900925056.98,21.94
430947393757.511,7.25
42607176470.5882,12.93
3258187232.63159,20.68
515332499627.861,10.68
15651545208.8783,27.93
17369059295.2226,28.71
324239176765.053,25.53
69105101089.5531,11.31
11250000000,25.06
19788422248.1072,10.24
60258239055.5829,7.5
1763696118.9519,25.59
36688861202.6049,20.95
1444733258971.65,25.51
4365500000,26.73
12016056665.3473,26.56
2409262838.21987,11.98
15781732825.8934,22.22
2303078337.57431,25.31
1644037286481.26,-6.36
752248045730.11,6.08
252940023046.011,8.71
14722730697890.1,7.1
39802147568.2174,24.87
10884686142.6442,24.36
271346896626.418,24.79
1219690024.50287,24.52
61520669890.4037,24.85
23804340376.9275,19.63
245349489988.26,8.73
3846413928653.71,9.63
3384404260.07202,28.38
469870370.37037,24.19
469870370.37037,22.48
356084867685.639,8.76
78844702329.0785,24.19
145163902228.168,23.22
98808010000,21.65
363069245165.315,23.0
1281484640043.58,13.93
30650285471.7215,6.31
107645054311.876,23.04
269751312854.475,2.52
4376014755.57615,24.3
2630317731455.26,11.69
15593181270.9135,25.36
2707743777173.91,9.07
15891688903.1843,7.67
72354428864.9032,27.68
15681050917.1588,27.43
15681050917.1588,26.14
15681050917.1588,25.08
15681050917.1588,24.54
1901930157.64528,27.97
1431758242.90375,27.43
10021856754.4944,24.54
189410106620.016,14.24
1089203703.7037,27.24
77604632170.5853,23.67
5471256594.72422,26.12
23827840809.7014,23.99
55966581780.1688,11.66
13417997065.1099,25.13
155012927629.087,11.15
1058423838345.14,26.14
2622983732006.45,24.68
425888950992.003,9.67
425888950992.003,9.07
191718271483.759,17.86
167224432560.319,22.58
21718075725.2054,2.31
401953767072.801,20.51
1886445268340.71,12.81
13812421803.4084,24.97
43697659275.3137,19.42
4975415241562.52,11.13
169835426427.153,6.91
98842939649.1149,25.09
7735976612.64163,2.22
25291251427.3979,27.51
199573325.992705,27.49
927451851.851852,25.11
33383246857.58,16.0
2950000000,25.69
25418461532.2008,22.64
1703364240.74074,26.34
80706600228.6499,27.28
1844510137.67817,12.65
55887271833.0025,7.43
73263982103.0119,10.02
33505185228.7067,6.86
112870591694.044,18.04
11914040905.2626,10.66
13720634105.403,22.65
4030203166.77482,27.8
1076163316174.94,21.31
12266949805.1436,10.64
17393761397.0805,28.83
17393761397.0805,27.09
14647384607.604,19.61
76185586096.7974,23.36
4778582336.18234,9.19
13137128659.479,0.67
14021421105.9078,24.33
7778525642.92883,28.34
10914065306.2423,23.69
11961848552.5977,22.51
336664444247.042,25.75
10699926682.6513,20.56
13678234008.4714,27.83
13678234008.4714,27.24
432293776262.398,27.24
12621476263.8278,25.29
913865395789.886,10.4
362522347110.364,1.78
33657175561.329,13.21
210886315368.533,10.11
263686552686.208,20.75
52938100000,25.4
202014363787.233,19.7
361489354350,25.82
23591523025.2864,25.08
594164690894.936,8.85
103138300000,24.93
231226743398.402,15.62
35304238230.1132,23.73
146373588866.511,28.02
248715551366.635,9.86
1483497784867.6,-5.16
10333991891.7032,19.41
700117873249.269,25.47
26110829190.4008,27.74
26110829190.4008,27.72
24910904235.857,28.65
339998477929.985,27.6
1551245525.6045,25.61
3865018882.89755,26.54
24638720000,25.24
4917607582.22895,27.09
52960134078.6888,11.28
3807922874.48306,26.07
104574146248.364,8.34
53589609580.7099,9.58
541063604339.715,2.62
3962493092.99308,20.79
1124937500,27.55
10093118570.2918,27.37
7574635241.30191,27.38
501794961925.244,26.79
8194150301.78552,3.75
1821000000,24.99
21529824769.2969,26.37
39235672868.2722,20.34
720101212394.114,11.66
48855550.2030142,28.45
62409748426.5824,22.86
37372032557.5944,23.34
155582008717.426,9.25
53628827440.3582,17.93
20936600000000,7.63
57707189945.4214,13.34
809681481.481481,27.42
854793640.145606,24.03
807027244.42138,27.59
301923639269.552,18.28
19320053859.279,22.27
16768513442.6415,21.83
